Name,Lng,Lat,x,y
x,151.209647,-33.868945,5.384,36.459
x,151.209585,-33.868907,8.694,37.294
x,151.209585,-33.868907,8.694,37.294
x,151.209880,-33.868997,9.375,36.153
x,151.210335,-33.869438,-1.485,22.971
x,151.210340,-33.869431,-1.156,23.591
x,151.210237,-33.869184,-12.440,32.243
x,151.210117,-33.868916,5.147,24.630
x,151.210075,-33.868858,6.448,26.462
x,151.210305,-33.869065,-1.469,23.782
x,151.210167,-33.869027,0.886,21.138
x,151.210179,-33.869019,4.129,17.679
x,151.210180,-33.869020,3.123,15.031
x,151.210209,-33.869011,5.133,15.657
x,151.210243,-33.869037,1.506,17.133
x,151.210264,-33.869023,-4.645,14.358
x,151.210288,-33.869025,-1.245,15.305
x,151.210315,-33.869022,-10.339,20.860
x,151.210336,-33.869018,-6.808,22.126
x,151.210349,-33.869025,-16.254,18.790
x,151.210363,-33.869029,-26.990,8.124
x,151.210378,-33.869034,-36.361,9.985
x,151.210395,-33.869040,-9.000,42.852
x,151.210411,-33.869046,-11.915,41.922
x,151.210423,-33.869051,-16.713,40.434
x,151.210434,-33.869058,-23.638,41.494
x,151.210443,-33.869067,-20.928,35.178
x,151.210454,-33.869076,-17.373,41.746
x,151.210465,-33.869084,-11.622,42.801
x,151.210478,-33.869094,-12.873,37.227
x,151.210484,-33.869105,-20.123,41.056
x,151.210478,-33.869157,-19.836,51.898
x,151.210477,-33.869164,-17.204,45.805
x,151.210475,-33.869175,-16.971,52.655
x,151.210472,-33.869190,-12.484,37.620
x,151.210470,-33.869204,2.709,10.906
x,151.210468,-33.869216,0.806,12.676
x,151.210464,-33.869225,0.390,23.015
x,151.210455,-33.869236,0.905,22.358
x,151.210437,-33.869248,11.980,24.878
x,151.210418,-33.869267,5.560,20.646
x,151.210412,-33.869280,-2.546,37.113
x,151.210416,-33.869294,-1.457,31.286
x,151.210424,-33.869308,4.938,35.428
x,151.210432,-33.869323,-1.844,28.329
x,151.210437,-33.869339,39.290,15.722
x,151.210439,-33.869358,36.751,40.198
x,151.210441,-33.869377,41.013,27.377
x,151.210441,-33.869396,0.303,70.953
x,151.210435,-33.869423,-5.185,61.650
x,151.210418,-33.869453,-9.563,59.254
x,151.210393,-33.869481,-11.669,77.321
x,151.210356,-33.869506,-8.688,77.423
x,151.210340,-33.869518,-7.535,90.000
x,151.210323,-33.869542,-10.167,90.000
x,151.210313,-33.869562,13.277,90.000
x,151.210312,-33.869582,16.093,90.000
x,151.210318,-33.869604,13.390,68.388
x,151.210319,-33.869619,9.229,86.114
x,151.210316,-33.869631,13.760,64.950
x,151.210318,-33.869648,9.676,90.000
x,151.210321,-33.869665,10.888,80.174
x,151.210322,-33.869690,12.632,57.029
x,151.210336,-33.869711,9.198,69.373
x,151.210358,-33.869740,19.302,80.271
x,151.210376,-33.869760,20.685,90.000
x,151.210374,-33.869771,19.452,90.000
x,151.210372,-33.869788,24.865,90.000
x,151.210366,-33.869804,26.192,76.756
x,151.210364,-33.869820,19.219,64.618
x,151.210355,-33.869827,12.157,60.994
